ShipmentID,Date,Origin,Destination,Distance_km,Weight_kg,ShippingMode,EstimatedTime_days,DeliveryTime_days,Delay_hours,FuelCost_USD,TotalCost_USD,PackageValue_USD,CustomerRating,WeatherDelay,TrafficDelay,LostOrDamaged
FDX000473,2023-01-19,Atlanta,Mumbai,3800,8.219999999999999,Ground,6,5.0,0,2.19,104.01,70.35,4.0,No,No,No
FDX000746,2024-08-23,Los Angeles,Mexico City,4540,24.310000000000002,Air,3,2.0,0,6.36,163.5,51.28,4.0,No,No,No
FDX000678,2023-10-03,Chicago,Mexico City,3211,9.67,Air,1,1.0,1,6.2,107.16,27.94,4.0,No,No,No
FDX001878,2023-12-13,Miami,Dubai,4819,12.31,Air,2,1.0,0,7.64,148.92,103.11,4.0,No,No,No
FDX001820,2023-10-08,San Francisco,London,2125,9.629999999999999,Ground,4,3.0,0,2.27,73.57,16.65,3.0,No,No,No
FDX001313,2023-02-20,Dallas,Toronto,5165,12.03,Ground,8,7.0,0,5.54,148.98,20.16,4.0,No,No,No
FDX001678,2023-08-06,Miami,Toronto,5158,20.73,Air,3,2.0,0,6.86,170.2,62.74,4.0,No,No,No
FDX001546,2023-03-21,Los Angeles,Tokyo,3963,31.040000000000003,Air,1,1.0,0,3.58,157.08,33.97,5.0,No,No,No
FDX000419,2023-01-30,Seattle,Toronto,2120,1.5,Ground,3,3.0,0,2.46,57.78,170.61,3.0,No,No,Yes
FDX000181,2023-01-06,Miami,London,6848,7.27,Ground,9,9.0,22,5.34,172.52,49.85,5.0,No,No,No
FDX001616,2023-12-06,Dallas,Sydney,4144,23.5,Air,3,2.0,0,5.42,151.14,92.76,5.0,No,No,No
FDX000571,2023-01-08,Dallas,Berlin,4066,44.24,Express,2,2.0,0,8.12,399.16,13.92,1.0,No,Yes,No
FDX001759,2025-11-13,Dallas,Tokyo,2928,45.82,Ground,4,6.0,50,2.23,161.89,37.51,4.0,No,No,No
FDX001869,2023-03-16,Miami,Toronto,4255,0.6,Express,2,1.0,0,8.68,317.34,57.41,5.0,No,No,No
FDX000271,2023-02-07,Atlanta,São Paulo,4093,14.219999999999999,Air,2,2.0,0,6.25,134.05,19.22,4.0,No,No,No
FDX001873,2023-08-24,New York,Singapore,5379,18.73,Ground,7,9.0,52,3.04,159.16,45.03,3.0,No,No,No
FDX000353,2025-06-30,Atlanta,Mumbai,3741,42.29,Express,2,2.0,0,5.27,380.21,54.32,4.0,No,No,No
FDX001181,2023-12-20,Miami,London,4816,16.92,Express,3,3.0,11,8.49,360.63,10.68,3.0,No,Yes,No
